pair_id,solute_smiles,solvent_smiles,solute_ud_key,solvent_ud_key,match_rule_solute,match_rule_solvent,T_K,m_ln_gamma_inf,g_2002_full,g_2002_res,g_2010_dsp_off_full,g_2010_dsp_off_res,method,source_doi,journal,in_corner_57
1,C=CC1CC=CCC1,CN=CO,BBDKZWKEPDTENS-MRVPVSSYSA-N,ATHHXGZTWNVVOU-UHFFFAOYSA-N,first_block,exact,298.15,2.8094026953624978,1.8825008942650774,1.9680131015349362,1.8149012488135,1.9004134560833568,Chromatography,10.1016/j.tca.2015.11.010,Thermochim. Acta,False
2,CCCO,CCCCCOC(C)=O,BDERNNFJNOPAEC-UHFFFAOYSA-N,PGMYKACGEOXYJE-UHFFFAOYSA-N,exact,exact,298.15,0.8878912573524571,0.8797703457573738,1.0309107414442933,1.3622182939789291,1.5133586896658475,Chromatography,10.1016/j.jct.2018.05.003,J. Chem. Thermodyn.,False
3,CCCO,ClCCl,BDERNNFJNOPAEC-UHFFFAOYSA-N,YMWUJEATGCHHMB-UHFFFAOYSA-N,exact,exact,293.15,2.125847914493992,0.437882827070027,0.44347099683408303,2.588247977253384,2.5938361470174396,unreported,10.1016/j.fluid.2015.11.037,Fluid Phase Equilib.,False
3,CCCO,ClCCl,BDERNNFJNOPAEC-UHFFFAOYSA-N,YMWUJEATGCHHMB-UHFFFAOYSA-N,exact,exact,303.15,1.944480556245719,0.44159980296339785,0.4471879727274538,2.4899448918828844,2.49553306164694,unreported,10.1016/j.fluid.2015.11.037,Fluid Phase Equilib.,False
3,CCCO,ClCCl,BDERNNFJNOPAEC-UHFFFAOYSA-N,YMWUJEATGCHHMB-UHFFFAOYSA-N,exact,exact,311.15,1.7884205679625405,0.44322422184942456,0.4488123916134806,2.413902001373591,2.4194901711376464,unreported,10.1016/j.fluid.2015.11.037,Fluid Phase Equilib.,False
4,CCC(C)N,CO,BHRZNVHARXXAHW-BYPYZUCNSA-N,OKKJLVBELUTLKV-UHFFFAOYSA-N,first_block,exact,298.15,-0.2876820724517809,-1.9609490757888097,-1.6864274666311307,-0.4564554567154917,-0.18193384755781372,Chromatography,10.1016/j.tca.2012.02.005,Thermochim. Acta,True
5,CCC(C)N,c1ccccc1,BHRZNVHARXXAHW-BYPYZUCNSA-N,UHOVQNZJYSORNB-UHFFFAOYSA-N,first_block,exact,298.15,0.1397619423751586,0.41810610210303056,0.4197193247267038,0.48611093545634176,0.4877241580800153,Chromatography,10.1016/j.tca.2012.02.005,Thermochim. Acta,True
6,CCCCCCCCC,CN=CO,BKIMMITUMNQMOS-UHFFFAOYSA-N,ATHHXGZTWNVVOU-UHFFFAOYSA-N,exact,exact,298.15,4.805659046737495,3.51054110788822,3.9414950547331555,3.6168780533118117,4.047832000156746,Chromatography,10.1016/j.tca.2015.11.010,Thermochim. Acta,False
7,CCCCCCCCC,c1ccncc1,BKIMMITUMNQMOS-UHFFFAOYSA-N,JUJWROOIHBZHMG-UHFFFAOYSA-N,exact,exact,298.15,2.169053700369523,1.856861326945928,2.115958407739292,1.94839580682675,2.2074928876201123,Chromatography,10.1016/j.fluid.2016.10.009,Fluid Phase Equilib.,True
8,CCCCCCCCC,OCCO,BKIMMITUMNQMOS-UHFFFAOYSA-N,LYCAIKOWRPUZTN-UHFFFAOYSA-N,exact,exact,303.15,7.992944547318106,5.822427443323468,6.257329018447073,6.389307771298617,6.824209346422222,Chromatography,10.1016/j.jct.2016.10.013,J. Chem. Thermodyn.,False
8,CCCCCCCCC,OCCO,BKIMMITUMNQMOS-UHFFFAOYSA-N,LYCAIKOWRPUZTN-UHFFFAOYSA-N,exact,exact,313.15,7.749322464660356,5.723002804643001,6.157904379766606,6.266961079688328,6.701862654811934,Chromatography,10.1016/j.jct.2016.10.013,J. Chem. Thermodyn.,False
8,CCCCCCCCC,OCCO,BKIMMITUMNQMOS-UHFFFAOYSA-N,LYCAIKOWRPUZTN-UHFFFAOYSA-N,exact,exact,323.15,7.585788821732034,5.625608692052553,6.0605102671761575,6.147945017160597,6.582846592284203,Chromatography,10.1016/j.jct.2016.10.013,J. Chem. Thermodyn.,False
9,CCCCCCCCC,OCCOCCO,BKIMMITUMNQMOS-UHFFFAOYSA-N,MTHSVFCYNBDYFN-UHFFFAOYSA-N,exact,exact,304.15,5.916202062607435,4.149194751000904,4.213649502160409,4.500638748388823,4.565093499548328,Chromatography,10.1016/j.jct.2016.10.013,J. Chem. Thermodyn.,False
9,CCCCCCCCC,OCCOCCO,BKIMMITUMNQMOS-UHFFFAOYSA-N,MTHSVFCYNBDYFN-UHFFFAOYSA-N,exact,exact,313.15,5.796057750765372,4.082147375928688,4.146602127088193,4.417845676850199,4.482300428009704,Chromatography,10.1016/j.jct.2016.10.013,J. Chem. Thermodyn.,False
9,CCCCCCCCC,OCCOCCO,BKIMMITUMNQMOS-UHFFFAOYSA-N,MTHSVFCYNBDYFN-UHFFFAOYSA-N,exact,exact,323.15,5.68697535633982,4.009165969160054,4.073620720319559,4.328408966813824,4.392863717973329,Chromatography,10.1016/j.jct.2016.10.013,J. Chem. Thermodyn.,False
10,CCCCCCCCC,CCCCCOC(C)=O,BKIMMITUMNQMOS-UHFFFAOYSA-N,PGMYKACGEOXYJE-UHFFFAOYSA-N,exact,exact,298.15,0.7747271675523681,0.7222678438696375,0.7277784948660458,0.7741137829106521,0.779624433907059,Chromatography,10.1016/j.jct.2018.05.003,J. Chem. Thermodyn.,False
11,CCCCCCCCC,OCCOCCOCCOCCO,BKIMMITUMNQMOS-UHFFFAOYSA-N,UWHCKJMYHZGTIT-UHFFFAOYSA-N,exact,exact,333.15,4.525401607404409,2.618107496238056,2.6256694226581305,2.8124864520110684,2.8200483784311414,Chromatography,10.1021/je020196d,J. Chem. Eng. Data,False
11,CCCCCCCCC,OCCOCCOCCOCCO,BKIMMITUMNQMOS-UHFFFAOYSA-N,UWHCKJMYHZGTIT-UHFFFAOYSA-N,exact,exact,353.15,4.169544794785036,2.5147804109461176,2.522342337366192,2.687722002754313,2.695283929174386,Chromatography,10.1021/je020196d,J. Chem. Eng. Data,False
11,CCCCCCCCC,OCCOCCOCCOCCO,BKIMMITUMNQMOS-UHFFFAOYSA-N,UWHCKJMYHZGTIT-UHFFFAOYSA-N,exact,exact,363.15,4.050401382422334,2.4650081566648727,2.472570083084947,2.6283771502390803,2.6359390766591533,Chromatography,10.1021/je020196d,J. Chem. Eng. Data,False
11,CCCCCCCCC,OCCOCCOCCOCCO,BKIMMITUMNQMOS-UHFFFAOYSA-N,UWHCKJMYHZGTIT-UHFFFAOYSA-N,exact,exact,373.1,3.8970657005751295,2.416703748426655,2.4242656748467293,2.571260023851819,2.578821950271892,Chromatography,10.1021/je020196d,J. Chem. Eng. Data,False
11,CCCCCCCCC,OCCOCCOCCOCCO,BKIMMITUMNQMOS-UHFFFAOYSA-N,UWHCKJMYHZGTIT-UHFFFAOYSA-N,exact,exact,383.15,3.7599272128731456,2.3691193184021744,2.3766812448222487,2.5154508298891027,2.5230127563091758,Chromatography,10.1021/je020196d,J. Chem. Eng. Data,False
11,CCCCCCCCC,OCCOCCOCCOCCO,BKIMMITUMNQMOS-UHFFFAOYSA-N,UWHCKJMYHZGTIT-UHFFFAOYSA-N,exact,exact,393.15,3.681774271983889,2.3229432577696714,2.3305051841897457,2.461718497227454,2.469280423647527,Chromatography,10.1021/je020196d,J. Chem. Eng. Data,False
11,CCCCCCCCC,OCCOCCOCCOCCO,BKIMMITUMNQMOS-UHFFFAOYSA-N,UWHCKJMYHZGTIT-UHFFFAOYSA-N,exact,exact,403.15,3.530381840042981,2.2779039235069005,2.285465849926975,2.409701100625249,2.417263027045322,Chromatography,10.1021/je020196d,J. Chem. Eng. Data,False
12,CCCCCCCCC,OCCOCCOCCO,BKIMMITUMNQMOS-UHFFFAOYSA-N,ZIBGPFATKBEMQZ-UHFFFAOYSA-N,exact,exact,323.15,5.207524667544767,3.219467294368276,3.212856575760198,3.456217347651558,3.449606629043482,Chromatography,10.1021/je020196d,J. Chem. Eng. Data,False
12,CCCCCCCCC,OCCOCCOCCO,BKIMMITUMNQMOS-UHFFFAOYSA-N,ZIBGPFATKBEMQZ-UHFFFAOYSA-N,exact,exact,333.15,5.049787415153563,3.158399603602401,3.1517888849943234,3.3821051343764603,3.3754944157683844,Chromatography,10.1021/je020196d,J. Chem. Eng. Data,False
12,CCCCCCCCC,OCCOCCOCCO,BKIMMITUMNQMOS-UHFFFAOYSA-N,ZIBGPFATKBEMQZ-UHFFFAOYSA-N,exact,exact,343.15,4.9404488534460835,3.098751661751352,3.0921409431432743,3.3102989324246765,3.3036882138166006,Chromatography,10.1021/je020196d,J. Chem. Eng. Data,False
12,CCCCCCCCC,OCCOCCOCCO,BKIMMITUMNQMOS-UHFFFAOYSA-N,ZIBGPFATKBEMQZ-UHFFFAOYSA-N,exact,exact,353.15,4.779488972534275,3.040509998788705,3.0338992801806275,3.240766650434127,3.234155931826051,Chromatography,10.1021/je020196d,J. Chem. Eng. Data,False
12,CCCCCCCCC,OCCOCCOCCO,BKIMMITUMNQMOS-UHFFFAOYSA-N,ZIBGPFATKBEMQZ-UHFFFAOYSA-N,exact,exact,363.15,4.635186165261687,2.98365393069654,2.9770432120884625,3.173451143565652,3.166840424957576,Chromatography,10.1021/je020196d,J. Chem. Eng. Data,False
12,CCCCCCCCC,OCCOCCOCCO,BKIMMITUMNQMOS-UHFFFAOYSA-N,ZIBGPFATKBEMQZ-UHFFFAOYSA-N,exact,exact,373.1,4.532541426951318,2.92843161885703,2.921820900248952,3.108600026334261,3.101989307726185,Chromatography,10.1021/je020196d,J. Chem. Eng. Data,False
12,CCCCCCCCC,OCCOCCOCCO,BKIMMITUMNQMOS-UHFFFAOYSA-N,ZIBGPFATKBEMQZ-UHFFFAOYSA-N,exact,exact,383.15,4.399410898909511,2.873990844444449,2.8673801258363714,3.045168953139692,3.038558234531616,Chromatography,10.1021/je020196d,J. Chem. Eng. Data,False
12,CCCCCCCCC,OCCOCCOCCO,BKIMMITUMNQMOS-UHFFFAOYSA-N,ZIBGPFATKBEMQZ-UHFFFAOYSA-N,exact,exact,393.15,4.302910372716953,2.8211216902700484,2.8145109716619707,2.984032905241239,2.977422186633163,Chromatography,10.1021/je020196d,J. Chem. Eng. Data,False
13,CCCCCCN,CO,BMVXCPBXGZKUPN-UHFFFAOYSA-N,OKKJLVBELUTLKV-UHFFFAOYSA-N,exact,exact,298.15,2.617395832834079,-2.3181274084455987,-1.6280326267280127,-0.47666301595322835,0.21343176576435474,Chromatography,10.1016/j.tca.2012.02.005,Thermochim. Acta,True
14,CCCCCCN,c1ccccc1,BMVXCPBXGZKUPN-UHFFFAOYSA-N,UHOVQNZJYSORNB-UHFFFAOYSA-N,exact,exact,298.15,2.785011242238338,0.51378713109957,0.590963189851954,0.5542753229573739,0.6314513817097577,Chromatography,10.1016/j.tca.2012.02.005,Thermochim. Acta,True
15,Cc1ccccn1,CO,BSKHPKMHTQYZBB-UHFFFAOYSA-N,OKKJLVBELUTLKV-UHFFFAOYSA-N,exact,exact,298.15,-0.2876820724517809,-0.1976435573814119,0.13997500034594593,0.74668723512663,1.084305792853988,Chromatography,10.1016/j.tca.2012.02.005,Thermochim. Acta,True
16,CC(C)=O,c1ccncc1,CSCPPACGZOOCGX-UHFFFAOYSA-N,JUJWROOIHBZHMG-UHFFFAOYSA-N,exact,exact,298.15,0.1655144384775733,-0.1295287642088072,-0.12340315066238026,-0.1401524374310135,-0.1340268238845848,Chromatography,10.1016/j.fluid.2016.10.009,Fluid Phase Equilib.,True
17,CC(C)=O,CCCCCOC(C)=O,CSCPPACGZOOCGX-UHFFFAOYSA-N,PGMYKACGEOXYJE-UHFFFAOYSA-N,exact,exact,298.15,0.1739533071234379,0.04926919997619447,0.2287832783478826,0.04720380842242056,0.22671788679410854,Chromatography,10.1016/j.jct.2018.05.003,J. Chem. Thermodyn.,False
18,Cc1ccccc1C,CN=CO,CTQNGGLPUBDAKN-UHFFFAOYSA-N,ATHHXGZTWNVVOU-UHFFFAOYSA-N,exact,exact,298.15,2.2823823856765264,1.5284533321640552,1.619549280127395,1.4330833653141837,1.5241793132775223,Chromatography,10.1016/j.tca.2015.11.010,Thermochim. Acta,False
19,Cc1ccccc1C,c1ccncc1,CTQNGGLPUBDAKN-UHFFFAOYSA-N,JUJWROOIHBZHMG-UHFFFAOYSA-N,exact,exact,298.15,0.3435897043900768,0.32620668533399366,0.36946139751544926,0.3361552861018483,0.3794099982833026,Chromatography,10.1016/j.fluid.2016.10.009,Fluid Phase Equilib.,True
20,CCCCCCCCCC,CN=CO,DIOQZVSQGTUSAI-UHFFFAOYSA-N,ATHHXGZTWNVVOU-UHFFFAOYSA-N,exact,exact,298.15,5.268888555857225,3.758427024296397,4.311512049192631,3.876337090771166,4.4294221156674,Chromatography,10.1016/j.tca.2015.11.010,Thermochim. Acta,False
21,CCCCCCCCCC,c1ccncc1,DIOQZVSQGTUSAI-UHFFFAOYSA-N,JUJWROOIHBZHMG-UHFFFAOYSA-N,exact,exact,298.15,2.26176309847379,1.9684222343742128,2.3177104384391387,2.0699849390018454,2.4192731430667713,Chromatography,10.1016/j.fluid.2016.10.009,Fluid Phase Equilib.,True
22,CCCCCCCCCC,CCCCCOC(C)=O,DIOQZVSQGTUSAI-UHFFFAOYSA-N,PGMYKACGEOXYJE-UHFFFAOYSA-N,exact,exact,298.15,0.9162907318741552,0.7785011224013563,0.7994736395380547,0.8362455000566991,0.8572180171933942,Chromatography,10.1016/j.jct.2018.05.003,J. Chem. Thermodyn.,False
23,CCCCCCCCCC,OCCOCCOCCOCCO,DIOQZVSQGTUSAI-UHFFFAOYSA-N,UWHCKJMYHZGTIT-UHFFFAOYSA-N,exact,exact,333.15,4.812032311293978,2.879398830170489,2.873329071777163,3.092552009506252,3.086482251112925,Chromatography,10.1021/je020196d,J. Chem. Eng. Data,False
23,CCCCCCCCCC,OCCOCCOCCOCCO,DIOQZVSQGTUSAI-UHFFFAOYSA-N,UWHCKJMYHZGTIT-UHFFFAOYSA-N,exact,exact,353.15,4.475043277240402,2.7661209345050937,2.7600511761117676,2.955647198228361,2.949577439835034,Chromatography,10.1021/je020196d,J. Chem. Eng. Data,False
23,CCCCCCCCCC,OCCOCCOCCOCCO,DIOQZVSQGTUSAI-UHFFFAOYSA-N,UWHCKJMYHZGTIT-UHFFFAOYSA-N,exact,exact,363.15,4.319191994439771,2.711566009276889,2.7054962508835634,2.8905482969153207,2.8844785385219933,Chromatography,10.1021/je020196d,J. Chem. Eng. Data,False
23,CCCCCCCCCC,OCCOCCOCCOCCO,DIOQZVSQGTUSAI-UHFFFAOYSA-N,UWHCKJMYHZGTIT-UHFFFAOYSA-N,exact,exact,373.1,4.164717591963446,2.6586261894984453,2.6525564311051193,2.827904838080493,2.821835079687166,Chromatography,10.1021/je020196d,J. Chem. Eng. Data,False
23,CCCCCCCCCC,OCCOCCOCCOCCO,DIOQZVSQGTUSAI-UHFFFAOYSA-N,UWHCKJMYHZGTIT-UHFFFAOYSA-N,exact,exact,383.15,4.011576895216909,2.6064811852721794,2.600411426878854,2.766706482167789,2.7606367237744616,Chromatography,10.1021/je020196d,J. Chem. Eng. Data,False
23,CCCCCCCCCC,OCCOCCOCCOCCO,DIOQZVSQGTUSAI-UHFFFAOYSA-N,UWHCKJMYHZGTIT-UHFFFAOYSA-N,exact,exact,393.15,3.937850583457605,2.5558847785214835,2.549815020128158,2.7077950606824124,2.701725302289085,Chromatography,10.1021/je020196d,J. Chem. Eng. Data,False
23,CCCCCCCCCC,OCCOCCOCCOCCO,DIOQZVSQGTUSAI-UHFFFAOYSA-N,UWHCKJMYHZGTIT-UHFFFAOYSA-N,exact,exact,403.15,3.759985424766783,2.5065387150279665,2.5004689566346405,2.650772436366029,2.6447026779727016,Chromatography,10.1021/je020196d,J. Chem. Eng. Data,False
