pair_id,solute_key,solvent_key,solute_name,solvent_name,T_K,m,n_records,g_full,g_res,g_2002_full_UD,g_2002_res_UD,g_2010_dsp_off_full_UD,g_2010_dsp_off_res_UD,method,source_doi,journal,in_broad_idac_set
1,Brc1ccccc1,OCCO,bromobenzene,"1,2-ethanediol",298.0,3.80666248977032,1,2.3291907,2.3972893,2.3328635907192656,2.400962390706029,2.659686145577539,2.727784945564303,Chromatography,10.1016/j.fluid.2013.06.028,Fluid Phase Equilib.,False
2,C#CCCCCC,c1ccncc1,1-heptyne,pyridine,298.15,0.4382549309311553,1,-0.42271066,-0.33948463,-0.4220260436567076,-0.3387994742009193,0.1620460381204814,0.2452726075762705,Chromatography,10.1016/j.fluid.2016.10.009,Fluid Phase Equilib.,True
3,C1=CCCCC1,c1ccncc1,cyclohexene,pyridine,298.15,0.9082585601768908,1,0.7514362,0.7535538,0.7515848555018473,0.7537022367073406,0.7668926496635217,0.7690100308690159,Chromatography,10.1016/j.fluid.2016.10.009,Fluid Phase Equilib.,True
4,C1CCOC1,c1ccncc1,tetrahydrofuran,pyridine,298.15,-0.0725706928348353,1,0.031394117,0.032418128,0.0311193185011245,0.0321436861953617,0.0213552323001412,0.0223795999943774,Chromatography,10.1016/j.fluid.2016.10.009,Fluid Phase Equilib.,True
5,C=CCCCCC,c1ccncc1,1-heptene,pyridine,298.15,1.2725655957915476,1,0.92988384,1.0259014,0.929664193359114,1.0256818240862755,0.9564895920525276,1.0525072227796903,Chromatography,10.1016/j.fluid.2016.10.009,Fluid Phase Equilib.,True
6,CC#N,c1ccncc1,acetonitrile,pyridine,298.15,0.378436435720245,1,0.2506796,0.30116487,0.2508867216375543,0.3013716369501975,0.3259205272494297,0.3764054425620727,Chromatography,10.1016/j.fluid.2016.10.009,Fluid Phase Equilib.,True
7,CC(C)(C)N,CO,2-methyl-2-propanamine,methanol,298.15,-1.3862943611198906,1,-2.0702014,-1.8457854,-2.041037235641289,-1.8166214933183231,-0.5251111203516905,-0.3006953780287275,Chromatography,10.1016/j.tca.2012.02.005,Thermochim. Acta,True
8,CC(C)(C)N,c1ccccc1,2-methyl-2-propanamine,benzene,298.15,0.2776317365982795,1,0.3871958,0.38213038,0.3866690643499716,0.3816033883769067,0.4572159818135526,0.4521503058404878,Chromatography,10.1016/j.tca.2012.02.005,Thermochim. Acta,True
9,CC(C)=O,c1ccncc1,acetone,pyridine,298.15,0.1655144384775733,1,-0.12938318,-0.123257086,-0.1295287642088072,-0.1234031506623802,-0.1401524374310135,-0.1340268238845848,Chromatography,10.1016/j.fluid.2016.10.009,Fluid Phase Equilib.,True
10,CC(C)Br,c1ccncc1,2-bromopropane,pyridine,298.15,0.3001045924503381,1,0.21531785,0.21493687,0.2153818652561883,0.215000709602847,0.2126459840599827,0.2122648284066422,Chromatography,10.1016/j.fluid.2016.10.009,Fluid Phase Equilib.,False
11,CC(Cl)CCl,c1ccncc1,"1,2-dichloropropane",pyridine,298.15,-0.0725706928348353,1,-0.05134876,-0.052733794,-0.0513626881194296,-0.0527477573527194,-0.0464547496594351,-0.0478398188927249,Chromatography,10.1016/j.fluid.2016.10.009,Fluid Phase Equilib.,True
12,CCC(C)N,CO,2-butanamine,methanol,298.15,-0.2876820724517809,1,-1.988091,-1.71357,-1.9609490757888095,-1.6864274666311307,-0.4564554567154912,-0.1819338475578133,Chromatography,10.1016/j.tca.2012.02.005,Thermochim. Acta,True
13,CCC(C)N,c1ccccc1,2-butanamine,benzene,298.15,0.1397619423751586,1,0.41739273,0.4190061,0.4181061021030305,0.4197193247267038,0.4861109354563417,0.4877241580800153,Chromatography,10.1016/j.tca.2012.02.005,Thermochim. Acta,True
14,CCCCCCC,c1ccncc1,heptane,pyridine,298.15,1.913977101952304,1,1.6010193,1.7091057,1.6010256876815037,1.7091120590444138,1.673196828173951,1.7812831995368597,Chromatography,10.1016/j.fluid.2016.10.009,Fluid Phase Equilib.,True
15,CCCCCCCC,c1ccncc1,octane,pyridine,298.15,2.0706530356467567,1,1.7361237,1.9146626,1.736091271783331,1.9146308828433576,1.8169681982975383,1.995507809357565,Chromatography,10.1016/j.fluid.2016.10.009,Fluid Phase Equilib.,True
16,CCCCCCCCC,c1ccncc1,nonane,pyridine,298.15,2.169053700369523,1,1.8571037,2.1161997,1.856861326945928,2.115958407739292,1.94839580682675,2.2074928876201123,Chromatography,10.1016/j.fluid.2016.10.009,Fluid Phase Equilib.,True
