group,n,mean,std,min,max,q005,q995,fraction_zero,fraction_extreme
correction,150534,8.488841558573768e-05,0.02976725995540619,-0.12168703973293304,2.200000047683716,-0.08007464427500963,0.08000716228038071,0.002172266730439635,0.00011957431543704412
crystal_head,295554,3.169711635564454e-05,0.021546130999922752,-0.08730027079582214,0.09395236521959305,-0.05737579567357898,0.05741900082677595,3.721824099826089e-05,0.0021079058310833213
encoder,2252288,0.0006673292373307049,0.043552204966545105,-0.5766334533691406,1.014542818069458,-0.06547133449465037,0.06611665181815618,1.2875795635371675e-05,0.0027785078995226187
hansen_head,131587,-5.806744593428448e-05,0.01862955279648304,-0.09316560626029968,0.08833315968513489,-0.03549506150186062,0.03558107975870367,3.039813963385441e-05,0.000934742793741023
interaction,2767104,0.0005414384650066495,0.041323818266391754,-0.5769832134246826,1.0091631412506104,-0.06237881084904075,0.06256517227739095,2.0599153483208436e-05,0.0014296535294661857
nrtl_head,429061,0.00021132051188033074,0.026661716401576996,-0.4094367027282715,0.07102042436599731,-0.053515030443668364,0.055212370678782555,1.6314696511684818e-05,2.3306709302406884e-06
other,12520585,-5.478883031173609e-05,0.017591416835784912,-0.18061597645282745,0.18817785382270813,-0.056217752546072,0.05617636010050774,4.5844503272011654e-05,0.014669841704680732
solvent_moe,3288999,-2.1610774183500325e-06,0.02628924883902073,-2.5467848777770996,2.5099599361419678,-0.04382587619125843,0.04383402708917856,2.0979027357563806e-05,4.378231796361142e-05
timp_disp,1378572,-8.056465958361514e-06,0.024491053074598312,-0.07989565283060074,1.0097291469573975,-0.05910725936293602,0.059044745042920115,3.191708521571597e-05,0.000100103585449291
timp_polar,1378560,-3.9095612009987235e-05,0.024424659088253975,-0.08006519824266434,0.07807555794715881,-0.0590571965277195,0.058971764557063586,2.031104921077066e-05,4.062209842154132e-05
