parameter,group,n,mean,std,min,max,q005,q995,fraction_zero,fraction_extreme
sol_token,other,256,-0.0002410494489595294,0.02151346765458584,-0.0569576621055603,0.0661437138915062,-0.05530945537611842,0.05046460302546616,0.0,0.00390625
slv_token,other,256,-0.001636326895095408,0.02130010537803173,-0.06487078964710236,0.06086313724517822,-0.059389928448945285,0.048236205894499985,0.0,0.0
sol_token_gate,other,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
slv_token_gate,other,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
gnn.node_embed.weight,encoder,9216,0.00014497272786684334,0.09696604311466217,-0.1903652399778366,0.1958734393119812,-0.16841479800641537,0.17097541503608213,0.0,0.0
gnn.node_embed.bias,encoder,256,-0.004132403526455164,0.09492556005716324,-0.1652551144361496,0.16369223594665527,-0.16427933536469935,0.1613070912659168,0.0,0.0
gnn.edge_embed.weight,encoder,3072,-0.0038137950468808413,0.1688278317451477,-0.3140467405319214,0.30945348739624023,-0.2966551440954208,0.2923946602642536,0.0,0.0
gnn.edge_embed.bias,encoder,256,-0.0002975944662466645,0.16188602149486542,-0.2915237247943878,0.28481820225715637,-0.28654545843601226,0.2768377520143986,0.0,0.0
gnn.shared_layers.0.w_disp,timp_disp,1,1.000921368598938,0.0,1.000921368598938,1.000921368598938,1.000921368598938,1.000921368598938,0.0,0.0
gnn.shared_layers.0.b_disp,timp_disp,1,0.000701925135217607,0.0,0.000701925135217607,0.000701925135217607,0.000701925135217607,0.000701925135217607,0.0,0.0
gnn.shared_layers.0.phi_disp.0.weight,timp_disp,196608,2.5250556063838303e-05,0.02152630127966404,-0.0648292601108551,0.05824723094701767,-0.0421134802699089,0.04200726790353656,3.0517578125e-05,5.086263020833333e-06
gnn.shared_layers.0.phi_disp.0.bias,timp_disp,256,0.00041957595385611057,0.021776584908366203,-0.03673209249973297,0.03829115629196167,-0.036395291332155466,0.037278836406767366,0.0,0.0
gnn.shared_layers.0.phi_disp.2.weight,timp_disp,32768,-0.00025807623751461506,0.03631249815225601,-0.07174985110759735,0.07232865691184998,-0.06469588618725539,0.06467862896621228,0.0,0.0
gnn.shared_layers.0.phi_disp.2.bias,timp_disp,128,0.0027666729874908924,0.03615345060825348,-0.061609234660863876,0.06447552889585495,-0.059382344409823415,0.06211658602580426,0.0,0.0
gnn.shared_layers.0.phi_polar.0.weight,timp_polar,196608,-5.5808533943491057e-05,0.021642353385686874,-0.06765369325876236,0.06339000910520554,-0.042613513600081206,0.04299172686412929,1.52587890625e-05,5.086263020833333e-06
