sample_id,ln_x2_final,T,T_m,dH_fus,tau_12,tau_21,alpha,eta,denominator,d_lnx2_dTm,d_lnx2_ddH,d_lnx2_dtau12,d_lnx2_dtau21,d_lnx2_dalpha,d_lnx2_dTm_abs,d_lnx2_ddH_abs,d_lnx2_dtau12_abs,d_lnx2_dtau21_abs,d_lnx2_dalpha_abs,abs_error
0,-7.41063,298.15,695.7007,27679.467,0.6217206,0.46024138,0.25478688,-2.1832905531665245,0.9986795686733988,-0.006887738608366567,-0.00023083363112153942,-0.9996793118407137,-0.7853672315430915,0.18877535908994858,0.006887738608366567,0.00023083363112153942,0.9996793118407137,0.7853672315430915,0.18877535908994858,3.8399309743674817
1,-6.1033745,288.2,676.7792,18996.87,0.9628991,0.7005941,0.23074073,-3.4084093403259947,0.9923811419799343,-0.005026891624287887,-0.00024146269724962255,-1.0008202846527663,-0.7164773178522539,0.4227634262320343,0.005026891624287887,0.00024146269724962255,1.0008202846527663,0.7164773178522539,0.4227634262320343,0.1629451951930143
2,-5.9444957,293.2,676.7792,18996.87,0.9520757,0.684302,0.23074707,-3.357722667584412,0.9912020165161965,-0.00503287157168396,-0.00023456968426847666,-1.00086863583072,-0.7228426288773333,0.40574576673970275,0.00503287157168396,0.00023456968426847666,1.00086863583072,0.7228426288773333,0.40574576673970275,0.3649288386787193
3,-5.79068,298.2,676.7792,18996.87,0.94161516,0.6685582,0.23075342,-3.3083581926170913,0.9898899767675182,-0.0050395423408674265,-0.0002279319260614771,-1.000907570885579,-0.7290886303505174,0.3896868711807467,0.0050395423408674265,0.0002279319260614771,1.000907570885579,0.7290886303505174,0.3896868711807467,0.5531565843251576
4,-5.6416655,303.2,676.7792,18996.87,0.93149835,0.65333545,0.23075971,-3.260228932810613,0.9884361113315325,-0.005046954875009571,-0.00022153781318948087,-1.0009340706988592,-0.7352238905034243,0.37453478911521465,0.005046954875009571,0.00022153781318948087,1.0009340706988592,0.7352238905034243,0.37453478911521465,0.7258856955956219
5,-5.4972057,308.2,676.7792,18996.87,0.92171025,0.63860786,0.23076603,-3.213260767023889,0.9868313919947744,-0.005055161896133313,-0.0002153764475985584,-1.000944755641224,-0.7412564158000828,0.36024134532912966,0.005055161896133313,0.0002153764475985584,1.000944755641224,0.7412564158000828,0.36024134532912966,0.8907747537974053
6,-5.3570685,313.2,676.7792,18996.87,0.9122334,0.62435186,0.23077232,-3.1673736274189466,0.9850667612837455,-0.0050642176213711795,-0.00020943756904332272,-1.000935834475331,-0.7471935232426435,0.3467628681034442,0.0050642176213711795,0.00020943756904332272,1.000935834475331,0.7471935232426435,0.3467628681034442,1.0429846242630232
7,-5.221037,318.2,676.7792,18996.87,0.9030541,0.6105456,0.23077857,-3.122499680925797,0.9831331165583538,-0.005074178019944752,-0.00020371151110831174,-1.0009031183087775,-0.7530418348657694,0.3340594226336742,0.005074178019944752,0.00020371151110831174,1.0009031183087775,0.7530418348657694,0.3340594226336742,1.1901290131048825
8,-5.0889044,323.2,676.7792,18996.87,0.8941581,0.59716773,0.23078483,-3.078569156538547,0.9810213282635211,-0.005085100911669628,-0.00019818915428529093,-1.0008419644289828,-0.7588076608778513,0.32209337329460297,0.005085100911669628,0.00019818915428529093,1.0008419644289828,0.7588076608778513,0.32209337329460297,1.3167824385023894
9,-4.9604783,328.2,676.7792,18996.87,0.88553274,0.5841991,0.23079103,-3.035518519872159,0.9787223072403534,-0.005097045825783032,-0.0001928618739499667,-1.000747278108725,-0.7644964912199808,0.3108309636951014,0.005097045825783032,0.0001928618739499667,1.000747278108725,0.7644964912199808,0.3108309636951014,1.4555790322195383
