row_set_id,canonical_axis,canonical_stratum,n_printings,names,n,n_solutes,n_solvents,n_pairs,n_sources,mc_sd_lo,mc_sd_hi,mc_lo_range,mc_hi_range,draws_to_2dp,draws_to_1dp,verdict,decimals,n_draws,ci90_lo,ci90_hi,se_lo,se_hi,boundary_margin_se_lo,boundary_margin_se_hi,printed_lo,printed_hi,printed_monte_carlo_sd
72f34270,whole_set,all,1,whole_set::all,477,78,36,185,15,0.01411,0.04148,"[-0.1240,-0.0474]","[2.0783,2.2600]",5009754,188394,coarsened,1,188400,-0.083192,2.177288,0.002057,0.005236,16.14,5.21,-0.1,2.2,
285bfa65,solute_role,organic_solute,1,solute_role::organic_solute,440,77,30,179,14,0.0121,0.02135,"[-0.2712,-0.2030]","[1.2999,1.4069]",894548,7087080422,converged,2,894600,-0.231894,1.350342,0.000774,0.001127,4.01,4.13,-0.23,1.35,
7942512c,solvent_class_coarse,hb_donor_acceptor_O,1,solvent_class_coarse::hb_donor_acceptor_O,328,48,9,75,8,0.01893,0.02239,"[-0.2373,-0.1429]","[2.1088,2.2263]",1698613170,92412,coarsened,1,180000,-0.199372,2.167712,0.002494,0.003243,19.8,5.46,-0.2,2.2,
0c6e6140,solvent_class,glycol_ether,3,solvent_class::glycol_ether ; solvent_family_fine::glycol_ether ; solvent_class_x_solute_role::glycol_ether | organic_solute,182,19,4,43,3,0.01822,0.02159,"[1.2089,1.3080]","[2.8059,2.9357]",18624624,959907,converged,2,120000000,1.25432,2.86978,9e-05,0.00011,7.2,43.89,1.25,2.87,
7b59f9db,solute_family,alkane,1,solute_family::alkane,129,11,10,45,7,0.02665,0.01378,"[0.7331,0.8687]","[2.2785,2.3568]",1432599,21178,coarsened,1,180000,0.811533,2.316186,0.003769,0.001927,10.21,17.55,0.8,2.3,
bdbedd1e,solvent_class,water,3,solvent_class::water ; solvent_family_fine::water ; solvent_class_x_solute_role::water | organic_solute,111,15,1,15,3,0.00662,0.00539,"[-0.1668,-0.1317]","[0.3772,0.4037]",204691,654649,stated,2,204720,-0.147123,0.39056,0.000813,0.000655,2.61,6.78,-0.15,0.39,0.0066
301c4272,solute_family,aromatic_hydrocarbon,1,solute_family::aromatic_hydrocarbon,71,10,9,32,7,0.03056,0.02893,"[-1.0953,-0.9105]","[0.6338,0.7995]",35686067,78602,coarsened,1,180000,-0.974361,0.717202,0.003997,0.004391,6.09,7.47,-1.0,0.7,
5e74c0cc,solvent_class_coarse,hb_acceptor_only,1,solvent_class_coarse::hb_acceptor_only,70,37,10,59,5,0.01058,0.14806,"[-0.3249,-0.2693]","[5.8619,6.6049]",95738356,605569,stated,2,605580,-0.296154,6.2118,0.000716,0.010741,1.61,0.3,-0.3,6.21,0.1481
e7f61b41,solute_family,ketone,1,solute_family::ketone,63,10,3,11,3,0.018,0.00564,"[-0.8998,-0.8119]","[0.6133,0.6475]",263287349,687305,stated,2,687360,-0.852988,0.632682,0.00124,0.00038,1.62,6.1,-0.85,0.63,0.018
42504742,solvent_class,aprotic_acceptor,2,solvent_class::aprotic_acceptor ; solvent_class_x_solute_role::aprotic_acceptor | organic_solute,57,36,8,57,4,0.01139,0.01054,"[-0.4482,-0.3867]","[0.1003,0.1567]",5713744,6514,coarsened,1,180000,-0.413902,0.122308,0.001382,0.001473,26.11,18.8,-0.4,0.1,
4042bec3,solute_family,mono_alcohol,1,solute_family::mono_alcohol,39,5,15,21,5,0.02881,0.03146,"[0.0125,0.1562]","[2.0778,2.2384]",652479108,684918,stated,2,684960,0.085054,2.149996,0.002066,0.002265,0.03,2.21,0.09,2.15,0.0315
