solute_key,solvent_key,m,n_records,solute_name,solvent_name,g_full,g_res
Brc1ccccc1,OCCO,3.80666248977032,1,bromobenzene,"1,2-ethanediol",2.3096225,2.3972893
C#CCCCCC,c1ccncc1,0.4382549309311553,1,1-heptyne,pyridine,-0.4223768,-0.33948463
C1=CCCCC1,c1ccncc1,0.9082585601768908,1,cyclohexene,pyridine,0.7656962,0.7535538
C1CCOC1,c1ccncc1,-0.0725706928348353,1,tetrahydrofuran,pyridine,0.032957073,0.032418128
C=CCCCCC,c1ccncc1,1.2725655957915476,1,1-heptene,pyridine,0.93010604,1.0259014
CC#N,c1ccncc1,0.378436435720245,1,acetonitrile,pyridine,0.262141,0.30116487
CC(C)(C)N,CO,-1.3862943611198906,1,2-methyl-2-propanamine,methanol,-2.0747132,-1.8457854
CC(C)(C)N,c1ccccc1,0.2776317365982795,1,2-methyl-2-propanamine,benzene,0.38772202,0.38213038
CC(C)=O,c1ccncc1,0.1655144384775733,1,acetone,pyridine,-0.12934475,-0.123257086
CC(C)Br,c1ccncc1,0.3001045924503381,1,2-bromopropane,pyridine,0.21462049,0.21493687
CC(Cl)CCl,c1ccncc1,-0.0725706928348353,1,"1,2-dichloropropane",pyridine,-0.06183912,-0.052733794
CCC(C)N,CO,-0.2876820724517809,1,2-butanamine,methanol,-1.9777209,-1.71357
CCC(C)N,c1ccccc1,0.1397619423751586,1,2-butanamine,benzene,0.419459,0.4190061
CCCCCCC,c1ccncc1,1.913977101952304,1,heptane,pyridine,1.6047044,1.7091057
CCCCCCCC,c1ccncc1,2.0706530356467567,1,octane,pyridine,1.7410109,1.9146626
CCCCCCCCC,c1ccncc1,2.169053700369523,1,nonane,pyridine,1.8645232,2.1161997
CCCCCCCCCC,c1ccncc1,2.26176309847379,1,decane,pyridine,1.9779329,2.318009
CCCCCCCCCCC,c1ccncc1,2.322387720290225,1,undecane,pyridine,2.0866187,2.5215685
CCCCCCN,CO,2.617395832834079,1,1-hexanamine,methanol,-2.3472497,-1.6630127
CCCCCCN,c1ccccc1,2.785011242238338,1,1-hexanamine,benzene,0.5139868,0.5905113
CCCCCOC(C)=O,c1ccncc1,0.1133286853070032,1,pentyl ethanoate,pyridine,0.09261465,0.25630307
CCCCCl,c1ccncc1,0.4317824164255378,1,1-chlorobutane,pyridine,0.3686135,0.38348845
CCCCN,CO,-0.7765287894989963,1,1-butanamine,methanol,-2.1680799,-1.8480936
CCCCOC(C)=O,c1ccncc1,0.1397619423751586,1,butyl ethanoate,pyridine,0.041996613,0.13856472
CCCN(CCC)CCC,CCCCCCCCCCCCCCCC,0.009950330853168,1,tripropylamine,hexadecane,-0.028535701,0.06533589
CCCN(CCC)CCC,CO,2.1736147116970854,1,tripropylamine,methanol,1.9755375,3.1498625
CCCN(CCC)CCC,c1ccccc1,1.0260415958332745,1,tripropylamine,benzene,0.5509356,0.78724897
CCCNCCC,CO,-0.0943106794712412,1,dipropylamine,methanol,-0.29530513,0.39925873
CCCNCCC,c1ccccc1,0.3920420877760237,1,dipropylamine,benzene,0.2760155,0.35471985
CCNCC,CO,-1.1086626245216111,1,diethylamine,methanol,-0.62729204,-0.299353
CCc1ccccc1,c1ccncc1,0.3646431135879092,1,ethylbenzene,pyridine,0.3533846,0.39490116
CO,C1CCNCC1,-0.843970070294529,1,methanol,piperidine,-2.364473,-2.2131088
CO,CC(C)(C)N,-1.2378743560016174,1,methanol,2-methyl-2-propanamine,-3.152156,-2.9932392
CO,CCC(C)N,-0.9675840262617056,1,methanol,2-butanamine,-3.198117,-3.022578
CO,CCCCCCN,-0.9675840262617056,1,methanol,1-hexanamine,-3.2260685,-2.8679962
CO,CCCCN,-1.0498221244986778,1,methanol,1-butanamine,-2.9945984,-2.7933424
CO,CCCNCCC,-0.371063681390832,1,methanol,dipropylamine,-2.3288102,-1.9671131
CO,CCNCC,-0.6733445532637656,1,methanol,diethylamine,-2.350319,-2.145322
CO,Cc1cccc(C)n1,-0.4942963218147801,1,methanol,"2,6-dimethylpyridine",-0.7793995,-0.48970625
CO,Cc1ccccn1,-0.2357223335210698,1,methanol,2-methylpyridine,-1.0731372,-0.8601537
CO,Cc1cccnc1,-0.0618754037180875,1,methanol,3-methylpyridine,-1.0666353,-0.8538982
CO,Cc1ccncc1,-0.3856624808119846,1,methanol,4-methylpyridine,-1.118645,-0.9020446
CO,NC1CCCCC1,-1.1086626245216111,1,methanol,cyclohexylamine,-3.1924999,-2.9817524
Cc1ccc(C)cc1,c1ccncc1,0.4446858212614457,1,"1,4-dimethylbenzene",pyridine,0.39154992,0.445505
Cc1cccc(C)c1,c1ccncc1,0.4317824164255378,1,"1,3-dimethylbenzene",pyridine,0.37867427,0.4302354
Cc1cccc(C)n1,CO,-0.0618754037180875,1,"2,6-dimethylpyridine",methanol,0.13419223,0.64445305
Cc1ccccc1,OCCO,4.532599493153256,1,toluene,"1,2-ethanediol",2.6056237,2.6737874
Cc1ccccc1C,c1ccncc1,0.3435897043900768,1,"1,2-dimethylbenzene",pyridine,0.32991603,0.36914423
Cc1ccccn1,CO,-0.2876820724517809,1,2-methylpyridine,methanol,-0.21726507,0.12400299
Cc1cccnc1,CO,-0.1984509387238383,1,3-methylpyridine,methanol,-0.36789274,-0.027333736
Cc1cccnc1,c1ccccc1,-0.0408219945202551,1,3-methylpyridine,benzene,-0.014709227,-0.0075269868
Cc1ccncc1,CO,0.0,1,4-methylpyridine,methanol,-0.4246756,-0.075458914
Clc1ccccc1,OCCO,3.688879454113936,1,chlorobenzene,"1,2-ethanediol",2.2768657,2.3521826
Fc1ccccc1,OCCO,3.4657359027997265,1,fluorobenzene,"1,2-ethanediol",2.0236113,2.0636067
Ic1ccccc1,OCCO,3.737669618283368,1,iodobenzene,"1,2-ethanediol",2.435386,2.5395813
NC1CCCCC1,CO,1.5706970841176695,1,cyclohexylamine,methanol,-2.117138,-1.8135078
NC1CCCCC1,c1ccccc1,1.860974538249528,1,cyclohexylamine,benzene,0.4808291,0.45723495
c1ccc2ccccc2c1,OCCO,5.472270673671475,1,naphthalene,"1,2-ethanediol",2.6990478,2.845021
c1ccccc1,OCCO,3.4657359027997265,1,benzene,"1,2-ethanediol",2.1012907,2.123638
c1ccncc1,CO,0.1823215567939546,1,pyridine,methanol,-0.2895066,-0.085931
