set,axis,stratum,unit,convention,n,n_solutes,n_solvents,n_pairs,mse,var_m,boundable_at_headline_cell,n_sources,top_source,top_source_share_of_stratum_squared_error,b_insuff_up,b_insuff_up_ml,b_closure_lb,margin,margin_ml,b_insuff_exceeds_var_m,adaptive_n_bins,b_insuff_up_adaptive,margin_adaptive,P_boot,bootstrap_reduces_to_one_way,pair_conditional_var,pair_conditional_rows,pair_conditional_groups,share_of_squared_error,share_of_rows,test_a_boundable,loso_testable,loso_n_deletions,loso_n_undefined,loso_n_leaving_unboundable,loso_margin_min,loso_margin_max,loso_worst_source,loso_worst_margin,test_b_sign_survives_loso,test_b_strict_remainder_boundable,admissible_this_cell,admissible_this_cell_strict,cells_admissible,cells_reported,admissible_in_every_cell,admissible_in_every_cell_strict,ci90_excludes_zero,direction,licenses,reason_not_admissible,margin_ci90_lo,margin_ci90_hi,margin_ci90
broad_477,whole_set,all,row,full,477,78,36,185,1.9108,4.8506,True,15,10.1016/j.jct.2016.10.013,0.2712,0.482,0.474,1.4287,0.9467,0.9628,False,47,0.3624,1.1859,0.998,False,0.0457,359.0,67.0,1.0,1.0,True,True,15,0,0,0.8211,1.0732,10.1021/acs.jced.7b00114,0.8211,True,True,True,True,3,4,False,False,True,positive,B_clos > 0 in this stratum: the closure's own error exceeds what input insufficiency can account for,,0.48,1.85,
broad_477,whole_set,all,row,res,477,78,36,185,1.9018,4.8506,True,15,10.1021/acs.jced.7b00114,0.3208,0.6966,0.6849,1.2052,0.5086,0.532,False,47,0.4777,0.9463,0.929,False,0.0457,359.0,67.0,1.0,1.0,True,True,15,0,0,0.1837,0.8749,10.1021/acs.jced.7b00114,0.1837,True,True,True,True,3,4,False,False,False,positive,B_clos > 0 in this stratum: the closure's own error exceeds what input insufficiency can account for,,-0.087,2.16,
broad_477,whole_set,all,pair,full,185,78,36,185,1.6792,5.9124,True,15,10.1016/j.jct.2016.10.013,0.2819,0.4946,0.4733,1.1846,0.6901,0.7327,False,18,0.5063,0.6666,0.957,False,,,,1.0,1.0,True,True,15,0,0,0.3339,0.7623,10.1016/j.jct.2016.10.013,0.3339,True,True,True,True,3,4,False,False,True,positive,B_clos > 0 in this stratum: the closure's own error exceeds what input insufficiency can account for,,0.046,1.584,
broad_477,whole_set,all,pair,res,185,78,36,185,1.5396,5.9124,True,15,10.1016/j.jct.2016.10.013,0.2719,0.6347,0.6073,0.9049,0.2702,0.325,False,18,0.5682,0.4033,0.787,False,,,,1.0,1.0,True,True,15,0,0,-0.1192,0.3303,10.1021/acs.jced.7b00114,-0.1192,False,False,False,False,3,4,False,False,False,positive,"nothing: reported in the map, not stated as a finding",sign does not survive deletion of 10.1021/acs.jced.7b00114 (+0.270 -> -0.119),-0.304,1.235,
broad_477,solvent_class,aliphatic_hydrocarbon,row,full,2,2,1,2,0.0101,0.0052,False,2,10.1016/j.jct.2019.05.011,0.9302,,,,,,,3,,,,True,,,,0.0,0.0042,False,True,2,2,2,,,,,False,False,False,False,0,4,False,False,,no estimate,"nothing: reported in the map, not stated as a finding",not boundable: n=2 < 40; the fixed cell is undefined at n=2,,,
broad_477,solvent_class,aliphatic_hydrocarbon,row,res,2,2,1,2,0.0107,0.0052,False,2,10.1016/j.jct.2019.05.011,0.8562,,,,,,,3,,,,True,,,,0.0,0.0042,False,True,2,2,2,,,,,False,False,False,False,0,4,False,False,,no estimate,"nothing: reported in the map, not stated as a finding",not boundable: n=2 < 40; the fixed cell is undefined at n=2,,,
broad_477,solvent_class,aliphatic_hydrocarbon,pair,full,2,2,1,2,0.0101,0.0052,False,2,10.1016/j.jct.2019.05.011,0.9302,,,,,,,3,,,,True,,,,0.0001,0.0108,False,True,2,2,2,,,,,False,False,False,False,0,4,False,False,,no estimate,"nothing: reported in the map, not stated as a finding",not boundable: n=2 < 40; the fixed cell is undefined at n=2,,,
broad_477,solvent_class,aliphatic_hydrocarbon,pair,res,2,2,1,2,0.0107,0.0052,False,2,10.1016/j.jct.2019.05.011,0.8562,,,,,,,3,,,,True,,,,0.0001,0.0108,False,True,2,2,2,,,,,False,False,False,False,0,4,False,False,,no estimate,"nothing: reported in the map, not stated as a finding",not boundable: n=2 < 40; the fixed cell is undefined at n=2,,,
broad_477,solvent_class,aprotic_acceptor,row,full,57,36,8,57,0.1093,0.8023,True,4,10.1016/j.tca.2012.02.005,0.3701,0.1305,0.1133,-0.0212,-0.1518,-0.1172,False,5,0.21,-0.3107,0.288,False,,,,0.0068,0.1195,True,True,4,0,2,-0.3873,-0.0774,10.1016/j.jct.2015.12.034,-0.0774,True,False,True,False,4,4,True,False,False,non-positive,"nothing: a non-positive margin is failure to separate, not a certified reversal (that needs a LOWER bound on B_insuff)",,-0.401,0.198,
broad_477,solvent_class,aprotic_acceptor,row,res,57,36,8,57,0.0891,0.8023,True,4,10.1016/j.jct.2015.12.034,0.3151,0.1404,0.1217,-0.0513,-0.1917,-0.1543,False,5,0.2155,-0.3419,0.192,False,,,,0.0056,0.1195,True,True,4,0,2,-0.4067,-0.1282,10.1016/j.jct.2015.12.034,-0.1282,True,False,True,False,4,4,True,False,False,non-positive,"nothing: a non-positive margin is failure to separate, not a certified reversal (that needs a LOWER bound on B_insuff)",,-0.435,0.124,
