axis,stratum,unit,convention,n_bins,within_bin_variance,n,rows_per_bin,mse,b_insuff_up,margin,P_boot,margin_ci90_lo,margin_ci90_hi,cell_defined
whole_set,all,row,full,3,ML,477,159.0,1.9108,0.8342,0.2424,0.63,-0.749,0.994,True
whole_set,all,row,full,3,Be,477,159.0,1.9108,0.8395,0.2318,0.628,-0.735,1.029,True
whole_set,all,row,full,4,ML,477,119.25,1.9108,0.7068,0.4972,0.914,-0.129,1.367,True
whole_set,all,row,full,4,Be,477,119.25,1.9108,0.7128,0.4852,0.917,-0.104,1.35,True
whole_set,all,row,full,5,ML,477,95.4,1.9108,0.5375,0.8358,0.979,0.163,1.557,True
whole_set,all,row,full,5,Be,477,95.4,1.9108,0.5432,0.8244,0.979,0.144,1.526,True
whole_set,all,row,full,6,ML,477,79.5,1.9108,0.5375,0.8357,0.992,0.314,1.699,True
whole_set,all,row,full,6,Be,477,79.5,1.9108,0.5443,0.8221,0.994,0.306,1.682,True
whole_set,all,row,full,7,ML,477,68.14,1.9108,0.4846,0.9416,0.997,0.423,1.819,True
whole_set,all,row,full,7,Be,477,68.14,1.9108,0.4918,0.9272,0.998,0.447,1.778,True
whole_set,all,row,full,8,ML,477,59.62,1.9108,0.474,0.9628,1.0,0.507,1.857,True
whole_set,all,row,full,8,Be,477,59.62,1.9108,0.482,0.9467,0.998,0.492,1.869,True
whole_set,all,row,full,10,ML,477,47.7,1.9108,0.4249,1.061,0.999,0.612,1.979,True
whole_set,all,row,full,10,Be,477,47.7,1.9108,0.434,1.0428,0.999,0.583,1.938,True
whole_set,all,row,full,12,ML,477,39.75,1.9108,0.4308,1.0492,0.999,0.644,2.012,True
whole_set,all,row,full,12,Be,477,39.75,1.9108,0.4419,1.027,1.0,0.63,2.017,True
whole_set,all,row,full,16,ML,477,29.81,1.9108,0.3988,1.1131,1.0,0.707,2.159,True
whole_set,all,row,full,16,Be,477,29.81,1.9108,0.4127,1.0854,1.0,0.696,2.106,True
whole_set,all,row,full,20,ML,477,23.85,1.9108,0.3692,1.1723,1.0,0.772,2.209,True
whole_set,all,row,full,20,Be,477,23.85,1.9108,0.3854,1.14,1.0,0.755,2.153,True
whole_set,all,row,full,24,ML,477,19.88,1.9108,0.3624,1.1859,1.0,0.804,2.299,True
whole_set,all,row,full,24,Be,477,19.88,1.9108,0.3816,1.1476,1.0,0.781,2.241,True
whole_set,all,row,full,32,ML,477,14.91,1.9108,0.3506,1.2095,1.0,0.865,2.329,True
whole_set,all,row,full,32,Be,477,14.91,1.9108,0.3758,1.1592,1.0,0.846,2.326,True
whole_set,all,row,full,40,ML,477,11.93,1.9108,0.3033,1.3042,1.0,0.913,2.416,True
whole_set,all,row,full,40,Be,477,11.93,1.9108,0.331,1.2488,1.0,0.879,2.344,True
whole_set,all,row,full,48,ML,477,9.94,1.9108,0.3124,1.2859,1.0,0.954,2.511,True
whole_set,all,row,full,48,Be,477,9.94,1.9108,0.3473,1.2162,1.0,0.902,2.387,True
whole_set,all,row,res,3,ML,477,159.0,1.9018,0.8955,0.1108,0.431,-1.338,1.326,True
whole_set,all,row,res,3,Be,477,159.0,1.9018,0.9011,0.0995,0.44,-1.344,1.337,True
whole_set,all,row,res,4,ML,477,119.25,1.9018,0.9396,0.0225,0.662,-0.772,1.653,True
whole_set,all,row,res,4,Be,477,119.25,1.9018,0.9476,0.0066,0.664,-0.775,1.63,True
whole_set,all,row,res,5,ML,477,95.4,1.9018,0.7023,0.4973,0.789,-0.421,1.893,True
whole_set,all,row,res,5,Be,477,95.4,1.9018,0.7097,0.4824,0.789,-0.415,1.927,True
whole_set,all,row,res,6,ML,477,79.5,1.9018,0.6942,0.5134,0.857,-0.269,2.022,True
whole_set,all,row,res,6,Be,477,79.5,1.9018,0.703,0.4957,0.855,-0.262,1.929,True
whole_set,all,row,res,7,ML,477,68.14,1.9018,0.6574,0.587,0.906,-0.151,2.173,True
whole_set,all,row,res,7,Be,477,68.14,1.9018,0.6672,0.5674,0.898,-0.156,2.074,True
whole_set,all,row,res,8,ML,477,59.62,1.9018,0.6849,0.532,0.93,-0.052,2.211,True
whole_set,all,row,res,8,Be,477,59.62,1.9018,0.6966,0.5086,0.922,-0.091,2.216,True
whole_set,all,row,res,10,ML,477,47.7,1.9018,0.6169,0.6679,0.965,0.057,2.325,True
whole_set,all,row,res,10,Be,477,47.7,1.9018,0.6301,0.6415,0.961,0.045,2.305,True
whole_set,all,row,res,12,ML,477,39.75,1.9018,0.5818,0.7382,0.982,0.138,2.418,True
whole_set,all,row,res,12,Be,477,39.75,1.9018,0.5968,0.7081,0.974,0.115,2.378,True
whole_set,all,row,res,16,ML,477,29.81,1.9018,0.5734,0.755,0.997,0.26,2.465,True
whole_set,all,row,res,16,Be,477,29.81,1.9018,0.5933,0.7152,0.99,0.209,2.498,True
whole_set,all,row,res,20,ML,477,23.85,1.9018,0.5111,0.8795,0.997,0.31,2.56,True
whole_set,all,row,res,20,Be,477,23.85,1.9018,0.5335,0.8347,0.994,0.299,2.498,True
whole_set,all,row,res,24,ML,477,19.88,1.9018,0.5146,0.8725,0.999,0.369,2.583,True
whole_set,all,row,res,24,Be,477,19.88,1.9018,0.5419,0.818,0.997,0.334,2.563,True
whole_set,all,row,res,32,ML,477,14.91,1.9018,0.4852,0.9313,1.0,0.453,2.652,True
whole_set,all,row,res,32,Be,477,14.91,1.9018,0.5201,0.8615,0.999,0.412,2.677,True
whole_set,all,row,res,40,ML,477,11.93,1.9018,0.4375,1.0268,1.0,0.533,2.785,True
whole_set,all,row,res,40,Be,477,11.93,1.9018,0.4776,0.9466,1.0,0.462,2.667,True
whole_set,all,row,res,48,ML,477,9.94,1.9018,0.4214,1.059,1.0,0.599,2.816,True
whole_set,all,row,res,48,Be,477,9.94,1.9018,0.4686,0.9645,1.0,0.522,2.807,True
whole_set,all,pair,full,3,ML,185,61.67,1.6792,0.9665,-0.2538,0.301,-1.599,0.664,True
whole_set,all,pair,full,3,Be,185,61.67,1.6792,0.9825,-0.2858,0.273,-1.749,0.555,True
whole_set,all,pair,full,4,ML,185,46.25,1.6792,0.7924,0.0944,0.653,-0.669,1.055,True
whole_set,all,pair,full,4,Be,185,46.25,1.6792,0.8099,0.0594,0.621,-0.775,1.029,True
whole_set,all,pair,full,5,ML,185,37.0,1.6792,0.5936,0.492,0.816,-0.371,1.269,True
whole_set,all,pair,full,5,Be,185,37.0,1.6792,0.6101,0.459,0.809,-0.34,1.219,True
whole_set,all,pair,full,6,ML,185,30.83,1.6792,0.5813,0.5165,0.901,-0.161,1.436,True
whole_set,all,pair,full,6,Be,185,30.83,1.6792,0.6008,0.4776,0.888,-0.2,1.377,True
whole_set,all,pair,full,7,ML,185,26.43,1.6792,0.5793,0.5206,0.944,-0.02,1.472,True
whole_set,all,pair,full,7,Be,185,26.43,1.6792,0.602,0.4752,0.942,-0.033,1.494,True
whole_set,all,pair,full,8,ML,185,23.12,1.6792,0.4733,0.7327,0.968,0.071,1.609,True
whole_set,all,pair,full,8,Be,185,23.12,1.6792,0.4946,0.6901,0.96,0.052,1.57,True
whole_set,all,pair,full,10,ML,185,18.5,1.6792,0.4524,0.7744,0.988,0.211,1.7,True
whole_set,all,pair,full,10,Be,185,18.5,1.6792,0.4782,0.7229,0.985,0.174,1.703,True
whole_set,all,pair,full,12,ML,185,15.42,1.6792,0.4683,0.7426,0.994,0.291,1.794,True
whole_set,all,pair,full,12,Be,185,15.42,1.6792,0.5005,0.6781,0.991,0.239,1.742,True
whole_set,all,pair,full,16,ML,185,11.56,1.6792,0.4368,0.8055,0.999,0.38,1.942,True
whole_set,all,pair,full,16,Be,185,11.56,1.6792,0.4779,0.7235,0.997,0.325,1.906,True
whole_set,all,pair,full,20,ML,185,9.25,1.6792,0.4264,0.8264,0.999,0.453,2.069,True
whole_set,all,pair,full,20,Be,185,9.25,1.6792,0.4775,0.7243,0.999,0.381,1.988,True
whole_set,all,pair,full,24,ML,185,7.71,1.6792,0.4008,0.8775,1.0,0.49,2.174,True
whole_set,all,pair,full,24,Be,185,7.71,1.6792,0.4601,0.7591,1.0,0.446,2.079,True
whole_set,all,pair,full,32,ML,185,5.78,1.6792,0.35,0.9791,1.0,0.615,2.262,True
whole_set,all,pair,full,32,Be,185,5.78,1.6792,0.423,0.8333,1.0,0.505,2.192,True
whole_set,all,pair,full,40,ML,185,4.62,1.6792,0.316,1.0473,1.0,0.669,2.31,True
whole_set,all,pair,full,40,Be,185,4.62,1.6792,0.4032,0.8728,1.0,0.606,2.302,True
whole_set,all,pair,full,48,ML,185,3.85,1.6792,0.3353,1.0085,1.0,0.664,2.402,True
whole_set,all,pair,full,48,Be,185,3.85,1.6792,0.4532,0.7727,1.0,0.639,2.338,True
whole_set,all,pair,res,3,ML,185,61.67,1.5396,1.0969,-0.6542,0.156,-1.853,0.386,True
whole_set,all,pair,res,3,Be,185,61.67,1.5396,1.1151,-0.6905,0.143,-1.898,0.375,True
whole_set,all,pair,res,4,ML,185,46.25,1.5396,0.8471,-0.1546,0.378,-1.116,0.81,True
whole_set,all,pair,res,4,Be,185,46.25,1.5396,0.8658,-0.192,0.355,-1.11,0.757,True
whole_set,all,pair,res,5,ML,185,37.0,1.5396,0.7741,-0.0086,0.577,-0.702,1.078,True
whole_set,all,pair,res,5,Be,185,37.0,1.5396,0.7956,-0.0516,0.513,-0.755,0.961,True
whole_set,all,pair,res,6,ML,185,30.83,1.5396,0.7252,0.0892,0.689,-0.475,1.132,True
whole_set,all,pair,res,6,Be,185,30.83,1.5396,0.7495,0.0406,0.645,-0.543,1.134,True
whole_set,all,pair,res,7,ML,185,26.43,1.5396,0.6891,0.1615,0.771,-0.353,1.224,True
whole_set,all,pair,res,7,Be,185,26.43,1.5396,0.7161,0.1075,0.74,-0.376,1.22,True
whole_set,all,pair,res,8,ML,185,23.12,1.5396,0.6073,0.325,0.83,-0.246,1.345,True
whole_set,all,pair,res,8,Be,185,23.12,1.5396,0.6347,0.2702,0.798,-0.306,1.302,True
whole_set,all,pair,res,10,ML,185,18.5,1.5396,0.6049,0.3299,0.897,-0.13,1.472,True
whole_set,all,pair,res,10,Be,185,18.5,1.5396,0.6393,0.261,0.871,-0.201,1.396,True
whole_set,all,pair,res,12,ML,185,15.42,1.5396,0.6071,0.3255,0.931,-0.062,1.532,True
whole_set,all,pair,res,12,Be,185,15.42,1.5396,0.6492,0.2412,0.907,-0.096,1.5,True
whole_set,all,pair,res,16,ML,185,11.56,1.5396,0.5288,0.482,0.973,0.102,1.713,True
whole_set,all,pair,res,16,Be,185,11.56,1.5396,0.5789,0.3819,0.952,0.005,1.623,True
whole_set,all,pair,res,20,ML,185,9.25,1.5396,0.5097,0.5202,0.989,0.173,1.784,True
whole_set,all,pair,res,20,Be,185,9.25,1.5396,0.5723,0.3951,0.972,0.094,1.748,True
whole_set,all,pair,res,24,ML,185,7.71,1.5396,0.5292,0.4812,0.993,0.204,1.894,True
whole_set,all,pair,res,24,Be,185,7.71,1.5396,0.6085,0.3226,0.983,0.137,1.852,True
whole_set,all,pair,res,32,ML,185,5.78,1.5396,0.4883,0.563,0.999,0.348,2.012,True
whole_set,all,pair,res,32,Be,185,5.78,1.5396,0.592,0.3557,0.992,0.246,1.965,True
whole_set,all,pair,res,40,ML,185,4.62,1.5396,0.4585,0.6227,1.0,0.441,2.144,True
whole_set,all,pair,res,40,Be,185,4.62,1.5396,0.5907,0.3583,0.999,0.33,2.055,True
whole_set,all,pair,res,48,ML,185,3.85,1.5396,0.4664,0.6069,1.0,0.484,2.194,True
whole_set,all,pair,res,48,Be,185,3.85,1.5396,0.6309,0.2779,1.0,0.414,2.076,True
solvent_class,glycol_ether,row,full,3,ML,182,60.67,2.4627,0.5867,1.2894,0.996,0.646,2.806,True
solvent_class,glycol_ether,row,full,3,Be,182,60.67,2.4627,0.5965,1.2698,0.997,0.651,2.806,True
solvent_class,glycol_ether,row,full,4,ML,182,45.5,2.4627,0.2698,1.9231,1.0,0.997,2.966,True
solvent_class,glycol_ether,row,full,4,Be,182,45.5,2.4627,0.2759,1.911,1.0,0.977,2.939,True
solvent_class,glycol_ether,row,full,5,ML,182,36.4,2.4627,0.2507,1.9614,1.0,1.189,3.127,True
solvent_class,glycol_ether,row,full,5,Be,182,36.4,2.4627,0.2577,1.9473,1.0,1.164,3.049,True
solvent_class,glycol_ether,row,full,6,ML,182,30.33,2.4627,0.2209,2.021,1.0,1.27,3.229,True
solvent_class,glycol_ether,row,full,6,Be,182,30.33,2.4627,0.2284,2.006,1.0,1.29,3.213,True
solvent_class,glycol_ether,row,full,7,ML,182,26.0,2.4627,0.1697,2.1233,1.0,1.373,3.19,True
solvent_class,glycol_ether,row,full,7,Be,182,26.0,2.4627,0.1765,2.1097,1.0,1.346,3.275,True
solvent_class,glycol_ether,row,full,8,ML,182,22.75,2.4627,0.1111,2.2406,1.0,1.384,3.278,True
solvent_class,glycol_ether,row,full,8,Be,182,22.75,2.4627,0.1161,2.2305,1.0,1.389,3.292,True
solvent_class,glycol_ether,row,full,10,ML,182,18.2,2.4627,0.1133,2.2361,1.0,1.422,3.401,True
solvent_class,glycol_ether,row,full,10,Be,182,18.2,2.4627,0.1199,2.2229,1.0,1.448,3.297,True
solvent_class,glycol_ether,row,full,12,ML,182,15.17,2.4627,0.0608,2.3412,1.0,1.433,3.368,True
solvent_class,glycol_ether,row,full,12,Be,182,15.17,2.4627,0.065,2.3327,1.0,1.471,3.394,True
solvent_class,glycol_ether,row,full,16,ML,182,11.38,2.4627,0.0531,2.3565,1.0,1.51,3.45,True
solvent_class,glycol_ether,row,full,16,Be,182,11.38,2.4627,0.0582,2.3463,1.0,1.468,3.425,True
solvent_class,glycol_ether,row,full,20,ML,182,9.1,2.4627,0.0442,2.3744,1.0,1.49,3.374,True
solvent_class,glycol_ether,row,full,20,Be,182,9.1,2.4627,0.0496,2.3635,1.0,1.502,3.418,True
solvent_class,glycol_ether,row,full,24,ML,182,7.58,2.4627,0.0378,2.3871,1.0,1.502,3.465,True
solvent_class,glycol_ether,row,full,24,Be,182,7.58,2.4627,0.0435,2.3758,1.0,1.476,3.45,True
solvent_class,glycol_ether,row,full,32,ML,182,5.69,2.4627,0.0362,2.3904,1.0,1.555,3.442,True
solvent_class,glycol_ether,row,full,32,Be,182,5.69,2.4627,0.0439,2.3749,1.0,1.484,3.468,True
solvent_class,glycol_ether,row,full,40,ML,182,4.55,2.4627,0.0306,2.4016,1.0,1.522,3.46,True
solvent_class,glycol_ether,row,full,40,Be,182,4.55,2.4627,0.039,2.3848,1.0,1.542,3.482,True
solvent_class,glycol_ether,row,full,48,ML,182,3.79,2.4627,0.0278,2.4072,1.0,1.527,3.432,True
solvent_class,glycol_ether,row,full,48,Be,182,3.79,2.4627,0.0374,2.3879,1.0,1.541,3.455,True
solvent_class,glycol_ether,row,res,3,ML,182,60.67,2.2518,0.5848,1.0822,0.99,0.491,2.53,True
solvent_class,glycol_ether,row,res,3,Be,182,60.67,2.2518,0.5946,1.0627,0.991,0.457,2.522,True
solvent_class,glycol_ether,row,res,4,ML,182,45.5,2.2518,0.2674,1.7171,1.0,0.868,2.663,True
solvent_class,glycol_ether,row,res,4,Be,182,45.5,2.2518,0.2734,1.7051,1.0,0.851,2.629,True
solvent_class,glycol_ether,row,res,5,ML,182,36.4,2.2518,0.241,1.7698,1.0,1.064,2.755,True
solvent_class,glycol_ether,row,res,5,Be,182,36.4,2.2518,0.2478,1.7562,1.0,1.057,2.732,True
solvent_class,glycol_ether,row,res,6,ML,182,30.33,2.2518,0.2176,1.8166,1.0,1.143,2.807,True
solvent_class,glycol_ether,row,res,6,Be,182,30.33,2.2518,0.225,1.8018,1.0,1.16,2.771,True
solvent_class,glycol_ether,row,res,7,ML,182,26.0,2.2518,0.1634,1.9251,1.0,1.221,2.826,True
solvent_class,glycol_ether,row,res,7,Be,182,26.0,2.2518,0.1699,1.912,1.0,1.196,2.845,True
solvent_class,glycol_ether,row,res,8,ML,182,22.75,2.2518,0.103,2.0459,1.0,1.25,2.883,True
solvent_class,glycol_ether,row,res,8,Be,182,22.75,2.2518,0.1077,2.0364,1.0,1.247,2.858,True
solvent_class,glycol_ether,row,res,10,ML,182,18.2,2.2518,0.0986,2.0546,1.0,1.344,2.936,True
solvent_class,glycol_ether,row,res,10,Be,182,18.2,2.2518,0.1043,2.0431,1.0,1.33,2.913,True
solvent_class,glycol_ether,row,res,12,ML,182,15.17,2.2518,0.0587,2.1344,1.0,1.338,2.951,True
solvent_class,glycol_ether,row,res,12,Be,182,15.17,2.2518,0.0628,2.1262,1.0,1.319,2.93,True
solvent_class,glycol_ether,row,res,16,ML,182,11.38,2.2518,0.0477,2.1564,1.0,1.384,2.969,True
