axis_a,stratum_a,axis_b,stratum_b,same_axis,rows_a,rows_b,rows_shared,pairs_a,pairs_b,pairs_shared,shared_share_of_a,shared_share_of_b,relation,double_counts_if_cited_as_separate_evidence
whole_set,all,solute_role,organic_solute,False,477,440,440,185,179,179,0.9224,1.0,b_inside_a,True
whole_set,all,solvent_class_coarse,hb_donor_acceptor_O,False,477,328,328,185,75,75,0.6876,1.0,b_inside_a,True
solvent_class_coarse,hb_donor_acceptor_O,solute_role,organic_solute,False,328,440,328,75,179,75,1.0,0.7455,a_inside_b,True
solvent_class_coarse,hb_donor_acceptor_O,solvent_family_fine,glycol_ether,False,328,182,182,75,43,43,0.5549,1.0,b_inside_a,True
solvent_class,glycol_ether,solvent_class_x_solute_role,glycol_ether | organic_solute,False,182,182,182,43,43,43,1.0,1.0,identical,True
solvent_family_fine,glycol_ether,solvent_class_x_solute_role,glycol_ether | organic_solute,False,182,182,182,43,43,43,1.0,1.0,identical,True
whole_set,all,solvent_class,glycol_ether,False,477,182,182,185,43,43,0.3816,1.0,b_inside_a,True
solute_role,organic_solute,solvent_class_x_solute_role,glycol_ether | organic_solute,False,440,182,182,179,43,43,0.4136,1.0,b_inside_a,True
solvent_class_coarse,hb_donor_acceptor_O,solvent_class_x_solute_role,glycol_ether | organic_solute,False,328,182,182,75,43,43,0.5549,1.0,b_inside_a,True
solvent_class,glycol_ether,solvent_class_coarse,hb_donor_acceptor_O,False,182,328,182,43,75,43,1.0,0.5549,a_inside_b,True
solvent_class,glycol_ether,solvent_family_fine,glycol_ether,False,182,182,182,43,43,43,1.0,1.0,identical,True
whole_set,all,solvent_family_fine,glycol_ether,False,477,182,182,185,43,43,0.3816,1.0,b_inside_a,True
whole_set,all,solvent_class_x_solute_role,glycol_ether | organic_solute,False,477,182,182,185,43,43,0.3816,1.0,b_inside_a,True
solvent_class,glycol_ether,solute_role,organic_solute,False,182,440,182,43,179,43,1.0,0.4136,a_inside_b,True
solvent_family_fine,glycol_ether,solute_role,organic_solute,False,182,440,182,43,179,43,1.0,0.4136,a_inside_b,True
solute_role,organic_solute,solute_family,alkane,False,440,129,129,179,45,45,0.2932,1.0,b_inside_a,True
whole_set,all,solute_family,alkane,False,477,129,129,185,45,45,0.2704,1.0,b_inside_a,True
solvent_family_fine,water,solvent_class_x_solute_role,water | organic_solute,False,111,111,111,15,15,15,1.0,1.0,identical,True
solvent_family_fine,water,solute_role,organic_solute,False,111,440,111,15,179,15,1.0,0.2523,a_inside_b,True
solvent_class,water,solute_role,organic_solute,False,111,440,111,15,179,15,1.0,0.2523,a_inside_b,True
solvent_class,water,solvent_family_fine,water,False,111,111,111,15,15,15,1.0,1.0,identical,True
solvent_class_coarse,hb_donor_acceptor_O,solvent_family_fine,water,False,328,111,111,75,15,15,0.3384,1.0,b_inside_a,True
solute_role,organic_solute,solvent_class_x_solute_role,water | organic_solute,False,440,111,111,179,15,15,0.2523,1.0,b_inside_a,True
whole_set,all,solvent_class,water,False,477,111,111,185,15,15,0.2327,1.0,b_inside_a,True
solvent_class,water,solvent_class_coarse,hb_donor_acceptor_O,False,111,328,111,15,75,15,1.0,0.3384,a_inside_b,True
whole_set,all,solvent_class_x_solute_role,water | organic_solute,False,477,111,111,185,15,15,0.2327,1.0,b_inside_a,True
whole_set,all,solvent_family_fine,water,False,477,111,111,185,15,15,0.2327,1.0,b_inside_a,True
solvent_class_coarse,hb_donor_acceptor_O,solvent_class_x_solute_role,water | organic_solute,False,328,111,111,75,15,15,0.3384,1.0,b_inside_a,True
solvent_class,water,solvent_class_x_solute_role,water | organic_solute,False,111,111,111,15,15,15,1.0,1.0,identical,True
