solvent_smiles,n_rows,learned_donor_window_area,reference_donor_window_area,learned_total_area,learned_donor_fraction
CC(C)=O,147,32.3695,0.0,91.047195,0.35552440687491804
CN(C)C=O,105,26.576704,0.0,80.34364,0.3307879005730883
CCOC(C)=O,95,36.82601,0.0,110.44813,0.33342357177074883
Cc1ccccc1,80,24.486012,0.0,101.88862,0.24032136268015014
CC#N,79,31.7289,6.70893933926574,76.659256,0.41389522486364855
C1CCCCC1,50,43.951023,0.0,188.90845,0.23265779270329096
C1COCCO1,49,61.81444,0.0,206.51967,0.2993150240846308
C1CCOC1,39,50.732002,0.0,161.41177,0.3143017513530767
COC(C)=O,27,33.099625,0.0,96.38121,0.3434240449979825
ClCCl,21,36.510834,9.83104398380034,133.04532,0.27442403836527285
CN1CCCC1=O,19,30.249805,0.0,100.363914,0.30140120880498944
ClC(Cl)Cl,15,36.48705,7.436283875003993,134.36063,0.2715605754453519
CCCOC(C)=O,14,34.734932,0.0,108.00184,0.3216142613866579
CS(C)=O,13,34.377907,0.416632585815562,129.82695,0.2647979252381728
CCCCCC,13,36.948338,0.0,156.49467,0.2360996575793923
CC(C)OC(C)C,11,45.97735,0.0,148.17532,0.31029020217401926
ClC(Cl)(Cl)Cl,11,40.511425,0.0,148.89691,0.2720770028068414
O=C1CCCCC1,10,40.737083,0.0,133.18668,0.30586454291074755
CC(=O)c1ccccc1,10,32.509705,0.0,113.30522,0.28692151164791874
CC(=O)CC(C)=O,10,35.74894,0.0,101.612045,0.35181793654482596
CCC(C)=O,10,36.45249,0.0,107.4147,0.33936221020027985
CC(=O)OC(C)C,9,34.16824,0.0,104.28296,0.32764931106673606
ClCCCl,8,38.021202,2.08895944017465,144.97328,0.26226351504222023
O=C1CCCO1,8,50.62782,0.0,157.38995,0.32167123758537314
COCOC,8,44.84853,0.0,139.41469,0.3216915663621961
CCC(C)(C)C(C)C,7,43.703773,0.0,151.11377,0.2892110560142865
CC1COC(=O)O1,7,59.171085,0.701172910533892,167.28082,0.3537230687893567
CCCCCOC(C)=O,5,41.301643,0.0,131.72565,0.31354290527319467
Clc1ccccc1,5,35.43447,0.0,141.315,0.25074811591126206
CCCCOC(C)=O,5,37.49392,0.0,118.438934,0.3165675233112112
CCCCCCC,4,38.042393,0.0,159.37881,0.23869166170835382
