solute_smiles,solvent_smiles,T,ln_x2_true,logS_true,pred_grounded_a,pred_nrtl,pred_directgnn,pred_oracle
C1=Cc2cccc3cccc1c23,CC(C)O,278.299988,-5.36296272277832,-1.2132192908362815,-6.057313919067383,-7.135801315307617,-5.8159990310668945,-4.601804256439209
C1=Cc2cccc3cccc1c23,CC(C)O,283.070007,-5.128911972045898,-1.1110326894841205,-5.850378036499023,-6.931328296661377,-5.6984734535217285,-4.4135918617248535
C1=Cc2cccc3cccc1c23,CC(C)O,288.329987,-4.866405010223389,-0.996249892900214,-5.628212928771973,-6.708960056304932,-5.566504955291748,-4.212299823760986
C1=Cc2cccc3cccc1c23,CC(C)O,293.200012,-4.6386237144470215,-0.89646267704948,-5.427750587463379,-6.505564212799072,-5.409289360046387,-4.031356334686279
C1=Cc2cccc3cccc1c23,CC(C)O,298.070007,-4.425184726715088,-0.8027570575941173,-5.231815338134766,-6.30419921875,-5.2073140144348145,-3.855243682861328
C1=Cc2cccc3cccc1c23,CC(C)O,303.299988,-4.184291362762451,-0.6967026345240018,-5.025677680969238,-6.089847087860107,-4.921509265899658,-3.6710610389709473
C1=Cc2cccc3cccc1c23,CC(C)O,308.049988,-3.970129013061523,-0.6020857330492814,-4.841799736022949,-5.896584987640381,-4.556222438812256,-3.507861375808716
C1=Cc2cccc3cccc1c23,CC(C)O,312.950012,-3.747313976287842,-0.5032285003935746,-4.65500545501709,-5.698370456695557,-4.0616302490234375,-3.3432044982910156
C1=Cc2cccc3cccc1c23,CC(C)O,318.399994,-3.4983913898468018,-0.3921481533577786,-4.450044631958008,-5.479001522064209,-3.3743836879730225,-3.1640524864196777
C1=Cc2cccc3cccc1c23,CC(C)O,323.25,-3.2915539741516113,-0.2991961093057589,-4.269404411315918,-5.284517288208008,-2.8418233394622803,-3.0077600479125977
C1=Cc2cccc3cccc1c23,CCCCO,278.25,-4.5954179763793945,-0.9550704700676778,-4.971769332885742,-6.665780067443848,-4.474817752838135,-4.450415134429932
C1=Cc2cccc3cccc1c23,CCCCO,283.049988,-4.404599666595459,-0.871266718839168,-4.772517681121826,-6.480008602142334,-4.212348461151123,-4.261430263519287
C1=Cc2cccc3cccc1c23,CCCCO,288.049988,-4.170275688171387,-0.7680799766325115,-4.570236682891846,-6.290125370025635,-3.90852427482605,-4.0705742835998535
C1=Cc2cccc3cccc1c23,CCCCO,293.25,-3.964632987976074,-0.6772119034288689,-4.365094184875488,-6.095986366271973,-3.472852945327759,-3.878135681152344
C1=Cc2cccc3cccc1c23,CCCCO,298.25,-3.743462324142456,-0.5790743735629874,-4.172369956970215,-5.911965370178223,-2.9308762550354004,-3.6985132694244385
