solute_id,solvent_id,T_K,gamma_inf_exp,record_file,record_set,m,solute_inchikey,solvent_inchikey,solute_cas,solvent_cas,solute_name,solvent_name,solute_smiles,solvent_smiles,g_res,g_full,solvent_donor_class,aqueous
64175,56235,293.2,34.4,IdacRecLazzaroniDb2023.txt,LazzaroniDb2023,3.5380565643793527,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,VZGDMQKNWNREIO-UHFFFAOYSA-N,64-17-5,56-23-5,ethanol,tetrachloromethane,CCO,C(Cl)(Cl)(Cl)Cl,3.459055,3.4010477,inert,False
64175,56235,298.2,27.84,IdacRecLazzaroniDb2023.txt,LazzaroniDb2023,3.326473835466219,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,VZGDMQKNWNREIO-UHFFFAOYSA-N,64-17-5,56-23-5,ethanol,tetrachloromethane,CCO,C(Cl)(Cl)(Cl)Cl,3.385133,3.3271258,inert,False
64175,56235,313.2,19.4,IdacRecLazzaroniDb2023.txt,LazzaroniDb2023,2.9652730660692823,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,VZGDMQKNWNREIO-UHFFFAOYSA-N,64-17-5,56-23-5,ethanol,tetrachloromethane,CCO,C(Cl)(Cl)(Cl)Cl,3.176727,3.1187198,inert,False
64175,56235,333.2,10.2,IdacRecLazzaroniDb2023.txt,LazzaroniDb2023,2.322387720290225,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,VZGDMQKNWNREIO-UHFFFAOYSA-N,64-17-5,56-23-5,ethanol,tetrachloromethane,CCO,C(Cl)(Cl)(Cl)Cl,2.9266996,2.8686924,inert,False
67561,56235,293.2,48.3,IdacRecLazzaroniDb2023.txt,LazzaroniDb2023,3.877431560658527,OKKJLVBELUTLKV-UHFFFAOYSA-N,VZGDMQKNWNREIO-UHFFFAOYSA-N,67-56-1,56-23-5,methanol,tetrachloromethane,CO,C(Cl)(Cl)(Cl)Cl,4.471526,4.285887,inert,False
67561,56235,313.2,26.4,IdacRecLazzaroniDb2023.txt,LazzaroniDb2023,3.2733640101522705,OKKJLVBELUTLKV-UHFFFAOYSA-N,VZGDMQKNWNREIO-UHFFFAOYSA-N,67-56-1,56-23-5,methanol,tetrachloromethane,CO,C(Cl)(Cl)(Cl)Cl,4.119882,3.9342425,inert,False
67561,56235,333.2,13.1,IdacRecLazzaroniDb2023.txt,LazzaroniDb2023,2.5726122302071057,OKKJLVBELUTLKV-UHFFFAOYSA-N,VZGDMQKNWNREIO-UHFFFAOYSA-N,67-56-1,56-23-5,methanol,tetrachloromethane,CO,C(Cl)(Cl)(Cl)Cl,3.8086023,3.6229627,inert,False
67641,56235,293.2,3.19,IdacRecLazzaroniDb2023.txt,LazzaroniDb2023,1.1600209167967532,CSCPPACGZOOCGX-UHFFFAOYSA-N,VZGDMQKNWNREIO-UHFFFAOYSA-N,67-64-1,56-23-5,acetone,tetrachloromethane,CC(=O)C,C(Cl)(Cl)(Cl)Cl,0.6620508,0.6448432,inert,False
67641,56235,295.7,3.15,IdacRecLazzaroniDb2023.txt,LazzaroniDb2023,1.1474024528375417,CSCPPACGZOOCGX-UHFFFAOYSA-N,VZGDMQKNWNREIO-UHFFFAOYSA-N,67-64-1,56-23-5,acetone,tetrachloromethane,CC(=O)C,C(Cl)(Cl)(Cl)Cl,0.6591243,0.64191675,inert,False
67641,56235,316.5,2.88,IdacRecLazzaroniDb2023.txt,LazzaroniDb2023,1.0577902941478545,CSCPPACGZOOCGX-UHFFFAOYSA-N,VZGDMQKNWNREIO-UHFFFAOYSA-N,67-64-1,56-23-5,acetone,tetrachloromethane,CC(=O)C,C(Cl)(Cl)(Cl)Cl,0.63322693,0.61601937,inert,False
67641,56235,328.9,2.82,IdacRecLazzaroniDb2023.txt,LazzaroniDb2023,1.0367368849500223,CSCPPACGZOOCGX-UHFFFAOYSA-N,VZGDMQKNWNREIO-UHFFFAOYSA-N,67-64-1,56-23-5,acetone,tetrachloromethane,CC(=O)C,C(Cl)(Cl)(Cl)Cl,0.61692005,0.5997125,inert,False
67641,56235,333.0,2.76,IdacRecLazzaroniDb2023.txt,LazzaroniDb2023,1.0152306797290584,CSCPPACGZOOCGX-UHFFFAOYSA-N,VZGDMQKNWNREIO-UHFFFAOYSA-N,67-64-1,56-23-5,acetone,tetrachloromethane,CC(=O)C,C(Cl)(Cl)(Cl)Cl,0.6114491,0.5942415,inert,False
67641,56235,338.6,2.68,IdacRecLazzaroniDb2023.txt,LazzaroniDb2023,0.9858167945227654,CSCPPACGZOOCGX-UHFFFAOYSA-N,VZGDMQKNWNREIO-UHFFFAOYSA-N,67-64-1,56-23-5,acetone,tetrachloromethane,CC(=O)C,C(Cl)(Cl)(Cl)Cl,0.60393655,0.58672893,inert,False
67641,56235,344.4,2.58,IdacRecLazzaroniDb2023.txt,LazzaroniDb2023,0.9477893989335261,CSCPPACGZOOCGX-UHFFFAOYSA-N,VZGDMQKNWNREIO-UHFFFAOYSA-N,67-64-1,56-23-5,acetone,tetrachloromethane,CC(=O)C,C(Cl)(Cl)(Cl)Cl,0.59612477,0.57891715,inert,False
67641,56235,346.8,2.59,IdacRecLazzaroniDb2023.txt,LazzaroniDb2023,0.9516578757114463,CSCPPACGZOOCGX-UHFFFAOYSA-N,VZGDMQKNWNREIO-UHFFFAOYSA-N,67-64-1,56-23-5,acetone,tetrachloromethane,CC(=O)C,C(Cl)(Cl)(Cl)Cl,0.59288704,0.5756794,inert,False
67641,56235,349.8,2.32,IdacRecLazzaroniDb2023.txt,LazzaroniDb2023,0.8415671856782185,CSCPPACGZOOCGX-UHFFFAOYSA-N,VZGDMQKNWNREIO-UHFFFAOYSA-N,67-64-1,56-23-5,acetone,tetrachloromethane,CC(=O)C,C(Cl)(Cl)(Cl)Cl,0.5888392,0.57163155,inert,False
67641,56235,349.8,1.93,IdacRecLazzaroniDb2023.txt,LazzaroniDb2023,0.6575200029167941,CSCPPACGZOOCGX-UHFFFAOYSA-N,VZGDMQKNWNREIO-UHFFFAOYSA-N,67-64-1,56-23-5,acetone,tetrachloromethane,CC(=O)C,C(Cl)(Cl)(Cl)Cl,0.5888392,0.57163155,inert,False
67663,56235,293.2,1.19,IdacRecLazzaroniDb2023.txt,LazzaroniDb2023,0.17395330712343798,HEDRZPFGACZZDS-UHFFFAOYSA-N,VZGDMQKNWNREIO-UHFFFAOYSA-N,67-66-3,56-23-5,trichloromethane,tetrachloromethane,C(Cl)(Cl)Cl,C(Cl)(Cl)(Cl)Cl,0.13580294,0.13234304,inert,False
67663,56235,293.2,1.16,IdacRecLazzaroniDb2023.txt,LazzaroniDb2023,0.14842000511827322,HEDRZPFGACZZDS-UHFFFAOYSA-N,VZGDMQKNWNREIO-UHFFFAOYSA-N,67-66-3,56-23-5,trichloromethane,tetrachloromethane,C(Cl)(Cl)Cl,C(Cl)(Cl)(Cl)Cl,0.13580294,0.13234304,inert,False
67663,56235,303.2,1.17,IdacRecLazzaroniDb2023.txt,LazzaroniDb2023,0.1570037488096647,HEDRZPFGACZZDS-UHFFFAOYSA-N,VZGDMQKNWNREIO-UHFFFAOYSA-N,67-66-3,56-23-5,trichloromethane,tetrachloromethane,C(Cl)(Cl)Cl,C(Cl)(Cl)(Cl)Cl,0.1297297,0.1262698,inert,False
67663,56235,328.2,1.13,IdacRecLazzaroniDb2023.txt,LazzaroniDb2023,0.12221763272424911,HEDRZPFGACZZDS-UHFFFAOYSA-N,VZGDMQKNWNREIO-UHFFFAOYSA-N,67-66-3,56-23-5,trichloromethane,tetrachloromethane,C(Cl)(Cl)Cl,C(Cl)(Cl)(Cl)Cl,0.116221644,0.11276174,inert,False
71238,56235,314.9,15.93,IdacRecLazzaroniDb2023.txt,LazzaroniDb2023,2.768204123921957,BDERNNFJNOPAEC-UHFFFAOYSA-N,VZGDMQKNWNREIO-UHFFFAOYSA-N,71-23-8,56-23-5,propan-1-ol,tetrachloromethane,CCCO,C(Cl)(Cl)(Cl)Cl,2.918831,2.9163704,inert,False
71238,56235,327.0,11.9,IdacRecLazzaroniDb2023.txt,LazzaroniDb2023,2.4765384001174837,BDERNNFJNOPAEC-UHFFFAOYSA-N,VZGDMQKNWNREIO-UHFFFAOYSA-N,71-23-8,56-23-5,propan-1-ol,tetrachloromethane,CCCO,C(Cl)(Cl)(Cl)Cl,2.7711778,2.768717,inert,False
71238,56235,338.9,8.82,IdacRecLazzaroniDb2023.txt,LazzaroniDb2023,2.1770218700187,BDERNNFJNOPAEC-UHFFFAOYSA-N,VZGDMQKNWNREIO-UHFFFAOYSA-N,71-23-8,56-23-5,propan-1-ol,tetrachloromethane,CCCO,C(Cl)(Cl)(Cl)Cl,2.636,2.6335392,inert,False
71238,56235,344.4,8.78,IdacRecLazzaroniDb2023.txt,LazzaroniDb2023,2.172476407647025,BDERNNFJNOPAEC-UHFFFAOYSA-N,VZGDMQKNWNREIO-UHFFFAOYSA-N,71-23-8,56-23-5,propan-1-ol,tetrachloromethane,CCCO,C(Cl)(Cl)(Cl)Cl,2.576629,2.5741682,inert,False
71432,56235,293.2,1.1,IdacRecLazzaroniDb2023.txt,LazzaroniDb2023,0.09531017980432493,UHOVQNZJYSORNB-UHFFFAOYSA-N,VZGDMQKNWNREIO-UHFFFAOYSA-N,71-43-2,56-23-5,benzene,tetrachloromethane,C1=CC=CC=C1,C(Cl)(Cl)(Cl)Cl,0.37117007,0.37266347,inert,False
