subset,convention,n,aad,rmse,mse,bias,r2,mean_m
all_scored_records,res,7889,0.7651,1.1131,1.2391,0.0302,0.9192,3.8748
all_scored_records,full,7889,0.9777,1.3458,1.8113,-0.7059,0.8818,3.8748
non_aqueous,res,4347,0.4688,0.6674,0.4454,-0.3362,0.6757,1.1852
non_aqueous,full,4347,0.495,0.6958,0.4842,-0.4194,0.6475,1.1852
aqueous,res,3542,1.1287,1.4877,2.2131,0.4799,0.8255,7.1756
aqueous,full,3542,1.5701,1.8547,3.44,-1.0575,0.7287,7.1756
set:LazzaroniDb2023,res,4347,0.4688,0.6674,0.4454,-0.3362,0.6757,1.1852
set:LazzaroniDb2023,full,4347,0.495,0.6958,0.4842,-0.4194,0.6475,1.1852
set:Jaubert_TDE_organic_in_water,res,3074,0.9934,1.2618,1.592,0.2606,0.8623,7.6578
set:Jaubert_TDE_organic_in_water,full,3074,1.5663,1.8273,3.3389,-1.4187,0.7111,7.6578
set:Jaubert_TDE_water_in_organic,res,468,2.0172,2.5085,6.2925,1.9198,0.26,4.0086
set:Jaubert_TDE_water_in_organic,full,468,1.5953,2.0259,4.1041,1.315,0.5173,4.0086
solvent_class:strong_donor,res,4224,0.8691,1.136,1.2906,0.0812,0.9231,5.9117
solvent_class:strong_donor,full,4224,1.3027,1.6075,2.5841,-1.1804,0.8461,5.9117
solvent_class:acceptor_only,res,1600,0.5736,0.7734,0.5982,-0.3343,0.5471,1.2037
solvent_class:acceptor_only,full,1600,0.5665,0.745,0.555,-0.435,0.5798,1.2037
solvent_class:inert,res,2065,0.7006,1.2769,1.6304,0.2084,0.6591,1.7776
solvent_class:inert,full,2065,0.6315,1.0973,1.204,0.0549,0.7483,1.7776
298K_nonaqueous,res,1033,0.4187,0.5969,0.3563,-0.309,0.7458,1.2706
298K_nonaqueous,full,1033,0.4609,0.6473,0.419,-0.4235,0.7011,1.2706
all_pair_temperature_averaged,res,6562,0.7374,1.0827,1.1721,0.011,0.9155,3.4156
all_pair_temperature_averaged,full,6562,0.8936,1.2534,1.571,-0.6441,0.8868,3.4156
